Unnamed: 0,datetime,url,title,owner_username
47,2023-10-27 21:22:32.852205,https://www.nbcnews.com/nightly-news/video/many-americans-in-gaza-still-trying-to-get-out-amid-israel-hamas-war-196584517640,Many Americans in Gaza still trying to get out amid Israel-Hamas war,NBCNews
48,2023-10-27 21:22:32.852299,https://www.nbcnews.com/now/video/internet-cut-in-gaza-as-israel-intensifies-ground-operation-196557381613,Internet cut in Gaza as Israel intensifies ground operation,NBCNews
49,2023-10-27 21:22:32.852391,https://www.msnbc.com/jose-diaz-balart/watch/israeli-artillery-fire-heard-as-richard-engel-reports-near-gaza-border-196555333578,Israeli artillery fire heard as Richard Engel reports near Gaza border,NBCNews
50,2023-10-27 21:22:33.936417,https://www.nbcnews.com/nightly-news/video/israel-announces-expanding-ground-operations-against-hamas-in-gaza-196582469939,Israel announces expanding ground operations against Hamas in ...,NBCNews
51,2023-10-27 21:22:33.936546,https://www.msnbc.com/andrea-mitchell-reports/watch/richard-engel-as-long-as-hamas-is-dug-in-in-gaza-israel-will-continue-to-bomb-them-196556869676,"Richard Engel: 'As long as Hamas is dug in' in Gaza, 'Israel will ...",NBCNews
52,2023-10-26 21:22:33.936663,https://www.today.com/video/israel-conducts-new-raids-inside-gaza-as-humanitarian-crisis-grows-196527173789,Israel conducts new raids inside Gaza as humanitarian crisis grows,NBCNews
53,2023-10-27 21:22:33.936773,https://www.msnbc.com/chris-jansing-reports/watch/israeli-military-says-ground-forces-are-expanding-gaza-operations-196556357636,Israeli military says ground forces are expanding Gaza operations,NBCNews
54,2023-10-27 21:22:33.936878,https://www.msnbc.com/opinion/msnbc-opinion/biden-gaza-palestinian-deaths-hamas-rcna122407,Biden's comments about Palestinian deaths in Gaza were a disgrace,NBCNews
55,2023-10-26 21:22:33.936982,https://www.nbcnews.com/news/world/live-blog/israel-hamas-war-live-updates-rcna122266,Israel launches large 'targeted raid' inside Gaza,NBCNews
56,2023-10-26 21:22:33.937092,https://www.nbcnews.com/news/world/israel-hamas-war-gaza-west-bank-palestinians-settler-violence-protests-rcna122299,"As strikes flatten Gaza, furious protests and settler violence rock the ...",NBCNews
57,2023-10-25 21:22:33.937197,https://www.today.com/video/israel-conducts-targeted-raid-inside-gaza-in-next-step-of-combat-196443717660,Israel conducts 'targeted raid' inside Gaza in 'next step of combat',NBCNews
58,2023-10-25 21:22:33.937304,https://www.nbcnews.com/health/health-news/americans-family-gaza-fear-loved-ones-rcna122176,Americans with family in Gaza fear for loved ones,NBCNews
59,2023-10-26 21:22:33.937409,https://www.nbcnews.com/science/science-news/firing-science-journal-editor-gaza-post-sparks-free-speech-rift-rcna122128,Firing of science journal editor after Gaza post sparks free speech rift,NBCNews
60,2023-10-25 21:22:35.024738,https://www.nbcnews.com/news/world/live-blog/israel-hamas-war-live-updates-rcna122056,Gaza fuel running out; hostage talks progressing,NBCNews
61,2023-10-25 21:22:35.024867,https://www.msnbc.com/the-reidout/watch/-we-re-losing-an-inner-sense-of-humanity-unrwa-director-who-has-family-sheltering-in-gaza-196422725673,'We're losing an inner sense of humanity': UNRWA director who has ...,NBCNews
62,2023-10-26 21:22:35.024976,https://www.nbcnews.com/news/world/palestinian-children-death-trauma-israel-bombing-hamas-rcna122113,Death and trauma stalk Palestinian children,NBCNews
63,2023-10-25 21:22:35.025089,https://www.msnbc.com/morning-joe/watch/-we-are-actually-terrified-i-am-a-voter-co-founder-shares-fears-over-growing-antisemitism-196447301836,'We are actually terrified': 'I Am a Voter' co-founder shares fears over ...,NBCNews
64,2023-10-25 21:22:35.025197,https://www.nbcnews.com/news/world/americans-stuck-gaza-are-forced-wait-key-land-crossing-open-rcna121915,Americans stuck in Gaza are forced to wait for key land crossing to ...,NBCNews
65,2023-10-25 21:22:35.025307,https://www.nbcnews.com/news/world/israel-hamas-war-continues-roil-american-colleges-sparking-walkouts-rcna122173,"Israel-Hamas war continues to roil American colleges, sparking ...",NBCNews
66,2023-10-24 21:22:35.025412,https://www.msnbc.com/morning-joe/watch/-please-let-us-get-our-food-in-world-food-programme-warns-of-crisis-inside-gaza-196359237824,'Please let us get our food in': World Food Programme warns of crisis ...,NBCNews
67,2023-10-24 21:22:35.025515,https://www.nbcnews.com/news/investigations/many-reasons-netanyahu-may-delaying-israeli-ground-offensive-gaza-rcna122012,The many reasons Netanyahu may be delaying an Israeli ground ...,NBCNews
68,2023-10-24 21:22:35.025621,https://www.nbcnews.com/news/world/gaza-plagued-poverty-hamas-no-shortage-cash-come-rcna121099,"Gaza is plagued by poverty, but Hamas has no shortage of cash ...",NBCNews
69,2023-10-24 21:22:35.025726,https://www.nbcnews.com/news/world/live-blog/israel-hamas-war-live-updates-rcna121849,U.S. intel says it has 'high confidence' Israel didn't cause Gaza ...,NBCNews
70,2023-10-25 21:22:36.095505,https://www.nbcnews.com/politics/white-house/white-house-increases-outreach-muslim-arab-americans-face-criticism-is-rcna121897,White House increases outreach to Muslim and Arab Americans in ...,NBCNews
71,2023-10-25 21:22:36.095585,https://www.nbcnews.com/news/world/biden-blinken-humanitarian-pause-israel-military-campaign-hamas-gaza-rcna122206,Biden administration pushes for a humanitarian 'pause' in Israel's ...,NBCNews
72,2023-10-23 21:22:36.095652,https://www.msnbc.com/11th-hour/watch/two-more-hostages-released-amid-israel-hamas-war-196256837875,Two more hostages released amid Israel-Hamas war,NBCNews
73,2023-10-24 21:22:36.095722,https://www.nbcnews.com/nightly-news/video/israel-hamas-war-images-of-gaza-devastation-newly-released-hostage-speaks-out-196328005609,"Israel-Hamas war: images of Gaza devastation, newly released ...",NBCNews
74,2023-10-23 21:22:36.095790,https://www.msnbc.com/rachel-maddow/watch/-negotiations-large-and-small-hostage-releases-aid-to-gaza-suggest-possible-shift-as-war-rages-196260421579,"'Negotiations large and small': Hostage releases, aid to Gaza ...",NBCNews
75,2023-10-24 21:22:36.095862,https://www.msnbc.com/opinion/msnbc-opinion/israel-hamas-war-republican-presidential-candidates-rcna121893,Republican candidates show they'd be a disaster for Israel,NBCNews
76,2023-10-23 21:22:36.095930,https://www.msnbc.com/morning-joe/watch/richard-engel-diplomatic-activity-happening-in-the-war-but-no-breakthroughs-196272197590,"Richard Engel: Diplomatic activity happening in the war, but no ...",NBCNews
77,2023-10-23 21:22:36.095997,https://www.nbcnews.com/news/world/live-blog/israel-hamas-war-live-updates-rcna121645,Hamas releases two more hostages,NBCNews
78,2023-10-23 21:22:36.096064,https://www.today.com/video/hamas-releases-two-israeli-hostages-from-gaza-196273733651,Hamas releases two Israeli hostages from Gaza,NBCNews
79,2023-10-23 21:22:36.096130,https://www.msnbc.com/the-reidout/watch/egypt-s-border-crossing-opens-to-allow-aid-into-gaza-196256325573,Egypt's border crossing opens to allow aid into Gaza,NBCNews
80,2023-10-24 21:22:37.210027,https://www.nbcnews.com/business/travel/travel-safety-israel-hamas-conflict-what-know-rcna121482,What to know on travel safety as the Israel-Hamas war continues,NBCNews
81,2023-10-23 21:22:37.210104,https://www.msnbc.com/msnbc/watch/blinken-confirms-33-americans-killed-in-attacks-on-israel-at-u-n-196293189705,Blinken confirms 33 Americans killed in attacks on Israel at U.N.,NBCNews
82,2023-10-23 21:22:37.210175,https://www.nbcnews.com/now/video/horrors-of-war-hitting-israel-gaza-as-fight-against-hamas-continues-196251717743,"Horrors of war hitting Israel, Gaza, as fight against Hamas continues",NBCNews
