url_code,time_utc,type,caption,likes,comments
CygsVJHyCkJ,2023-10-17 19:01:07,GraphVideo,"If this White House weren't so weak, then Hamas terrorists wouldn't have risen up when they did, breached Israel's boundaries, and abducted and murdered hundreds. But when the president of the United States can't barely stand and walk by himself, the evil forces of the world take notice and plot ways to exploit the situation. ⁠
⁠
Lt. Col, Tony Shaffer, retired, talks about the many, many problems from this administration that have contributed to the rise of terror and the world of chaos that now confronts us all.",120,18
CygkLmWs5NZ,2023-10-17 17:47:13,GraphImage,"“Hamas is winning the YouTube war,” said Michael Doran, senior fellow and director of the Center for Peace and Security in the Middle East at the Hudson Institute. “The spectacle of civilian casualties in Gaza — it’s having a much bigger effect in the Muslim world than the atrocities Hamas perpetrated” in its attack on Israel.",145,34
CygcZgrMKL1,2023-10-17 16:39:11,GraphImage,"President Biden strode into office promising to restore competency and credibility to U.S. foreign policy after four years of President Trump’s shoot-from-the-hip diplomacy, but several international missteps and crises abroad have undermined his claim.⁠
⁠",276,32
CygUdsLt95c,2023-10-17 15:31:08,GraphVideo,"On Tuesday's Front Page: Ohio Rep. Jim Jordan is still working to persuade Republican holdouts to vote for him for speaker, the FBI says murders, rapes and assaults dropped nationally over the past year, and more.",24,0
CygM8_OM_A9,2023-10-17 14:24:10,GraphImage,"House investigators Monday sought access to the trove of classified documents improperly taken and stored by President Biden, to determine if the sensitive material was used in connection with the Biden family’s lucrative foreign business deals.⁠
⁠",171,20
CygFQhOtK34,2023-10-17 13:18:12,GraphVideo,"#TopoftheTimes: Labor Department sitting on a $5 billion of leftover taxpayer money.

Tune in as The Washington Times' Tim Constantine discusses today's top stories.",34,2
CyfALcYtORE,2023-10-17 03:13:22,GraphImage,"The Biden campaign on Monday joined Truth Social, the web platform launched by former President Donald Trump in hopes of converting supporters of the former commander-in-chief into Biden voters.",112,21
Cye4RD7qXza,2023-10-17 02:04:12,GraphImage,"The Biden administration has reached a settlement with migrant parents whose children were separated under President Trump’s zero-tolerance border policy, promising them housing, medical care, trauma therapy, work permits and legal assistance to help them win a permanent place in the U.S.",124,57
CyewtleM89I,2023-10-17 00:58:11,GraphImage,"Former President Donald Trump is sketching out a second-term agenda on the campaign trail that includes reversing President Biden’s policies, finishing business from his first term and pursuing some outside-the-box ventures such as establishing “freedom cities” across the U.S.",218,31
CyepJ-HMwpg,2023-10-16 23:52:09,GraphImage,"For unionized carworkers, the plant is a potential threat to their job security. Many auto employees represented by the United Auto Workers work in factories building transmissions and gasoline-powered engines, things that are obsolete in a fully electric auto industry.",36,6
Cyeh8kAMImi,2023-10-16 22:49:09,GraphImage,"The report based its estimates on a sampling of national health surveys, including ambulance data. It offers the most recent government data on the “characteristics and differences” of assault victims who rely on emergency services, said Danielle Davis, a CDC health statistician and the report’s co-author.",38,8
CyeZt0RLiPb,2023-10-16 21:37:15,GraphImage,"The law requires an annual cost-of-living adjustment for benefits, based on rising prices. This year’s 3.2% COLA is lower than that of the last two years, when runaway inflation sent costs soaring.",43,4
CyeSjjXstAI,2023-10-16 20:34:44,GraphVideo,"""So we get the speaker, we get the house open and we get to work on the resolution and supplemental for Israel and we get back to work for the American people. That's what I'm committed to doing. And I think it's going to happen tomorrow,"" said Representative Jordan.",80,8
CyeKYLwujvk,2023-10-16 19:23:12,GraphImage,"Florida Gov. Ron DeSantis met 270 US. citizens fleeing the Israel-Hamas war at Tampa International Airport Sunday night.⁠
⁠
The flight was coordinated by Project Dynamo, a Tampa-based nonprofit made up of U.S. military veterans who do international search and rescue missions. The mission was called Operation: PROMISED LAND, which got the Americans, including 91 children plus two dogs, back from Israel, according to the group’s post on X.",165,13
CyeCec0sHHA,2023-10-16 18:14:11,GraphImage,"The IRS dropped the numbers into a raging debate in Washington over how aggressive the IRS should be in sweating out more money from Americans.⁠
⁠
The Biden administration is pushing for an aggressive approach, saying the wealthy aren’t paying their share, while Republicans are resisting, warning that a supercharged IRS would oppress even law-abiding taxpayers.⁠",41,5
Cyd7PknMi0W,2023-10-16 17:10:57,GraphImage,"Former Utah Gov. Jon Huntsman and his family will no longer donate to the University of Pennsylvania, his alma mater, the latest blow to the Ivy League school from a donor and alumni revolt over antisemitism on campus.⁠
⁠
Mr. Huntsman said in a message to Penn President Liz Magill that the Huntsman Foundation “will close its checkbook on all future giving to Penn” after three generations of support from the family, citing the university’s silence in the face of “historic Hamas evil.”",458,36
CydzZjmMWCt,2023-10-16 16:05:08,GraphVideo,"On Monday's Front Page: The Iran-backed militant group Hezbollah launched at least five anti-tank guided missiles into northern Israel, Texas Gov. Greg Abbott is stepping up his migrant busing campaign, and more.",25,2
Cydr2DIs13t,2023-10-16 14:56:18,GraphSidecar,"More than a dozen House lawmakers, mostly Democrats, declined to endorse a resolution to condemn the “barbaric war” launched by Hamas terrorists against Israel.⁠
⁠
The absence of their names from the resolution does not necessarily mean they won’t vote for its passage, but it puts them in a small class of their own that is out of step with more than 400 of their colleagues.⁠
⁠",64,7
CydjXrKt3N3,2023-10-16 13:47:29,GraphVideo,"#Topofthetimes: Nikki Haley is building momentum.

Tune in as The Washington TImes' Tim Constantine discusses today's top stories.",41,5
CydfOvFsnCF,2023-10-16 13:06:11,GraphImage,"Fall into digital subscription savings!⁠
⁠
Follow 🔗 in the bio to subscribe and save.",29,1
CyXLQtXsl9X,2023-10-14 02:16:14,GraphImage,Today's Washington Times #huntertoon:,233,25
CyXCyPdogNV,2023-10-14 01:02:11,GraphImage,"Kari Lake, a close ally of former President Donald Trump, filed paperwork last week to run and will officially launch her campaign Tuesday evening at an event in Scottsdale. She met with several top Senate Republicans on Capitol Hill last week amid concerns that her history of stolen election claims and unsuccessful bid for governor will cost the GOP the battleground seat that could determine control of the chamber.",118,22
CyWvNras2rF,2023-10-13 22:11:12,GraphImage,"The Labor Department‘s pandemic-era “first week” unemployment benefit program has been shut down for two years, but the department is still hoarding nearly $5 billion in cash that never got spent.⁠
⁠
Now an inspector general says it’s time to return the money to the Treasury Department, warning that leaving that kind of money sitting in a government account makes it a “risk for waste, fraud and abuse.”",59,8
CyWlfe0BhBn,2023-10-13 20:46:15,GraphImage,"Children of military service members and civilian defense employees in schools run by the Pentagon led the nation in math and reading last year, improving even after COVID-19 disruptions.",74,7
CyWRJTvyf7C,2023-10-13 17:51:16,GraphVideo,"The media would have it believed that January 6 was a violent insurrection of MAGA supporters who wanted to tear down the halls of Congress, beat up the Democrats and socialists who pretend to be Democrats with sticks and and clubs and the butts of rifles, and viciously assault and attack and injure, even kill, any police officer who dared stand in their way.⁠
⁠
But that’s the lie.⁠
⁠
Check out Bold & Blunt using the link in our bio to learn more.",106,9
CyWHRmbtMGD,2023-10-13 16:22:10,GraphImage,"Facing bipartisan criticism at home, the Biden administration has reportedly put a new hold on some $6 billion in Iranian funds held in a Qatari bank account in the wake of the attack by Palestinian Hamas militants on Israel that has killed more than 1,200 Israelis and foreigners.⁠
⁠
Iran has been a longtime financial and military backer of Hamas, although the U.S. government has said it has seen no evidence yet Iran’s theocratic regime knew of or helped carry out the gruesome weekend attack.",54,1
CyV-Bq2tNio,2023-10-13 15:04:30,GraphVideo,"On Friday's Front Page: House Majority Leader Steve Scalise surprised rank-and-file Republicans by dropping out of the speaker's race, Israel’s military has ramped up its promised campaign of retaliation against Hamas, and more.",45,7
CyV0jf_Mp3H,2023-10-13 13:38:34,GraphImage,"“Jewish people continue to face repeated violence and very real threats to your institutions and your houses of worship and to the individuals in your community simply for being who you are,” Mr. Wray told the more than 4,200 Jewish community leaders tuned in to the online event.",128,21
