url_code,time_utc,type,caption,likes,comments
CykWAv1Nb3G,2023-10-19 05:00:38,GraphVideo,‘UTTERLY HORRIFIC’: Sen. Ted Cruz appears on “Hannity” to discuss the “evil” that Hamas terrorists committed against Israeli citizens.,12624,1506
CykPJHPtB1r,2023-10-19 04:00:11,GraphImage,CLOSED FOR GOOP: A-list actress details plans to leave spotlight at the link in bio.,24258,9690
CykIRdpNYZA,2023-10-19 03:00:09,GraphImage,'NO LONGER WELCOME': Ivy League students who landed cushy job offers with a prestigious law firm post-grad are paying the price after signing letters blaming Israel after the country was attacked by terrorists. Link in bio.,63835,3716
CykBaRuN611,2023-10-19 02:00:12,GraphImage,TAKE NOTES: The Democratic lawmaker got a reality check from social media users. Link in bio.,8995,1346
Cyj6jndMxco,2023-10-19 01:00:18,GraphImage,SINK OR SWIM: @rileygbarker fires back at NCAA president's testimony about trans sports at the link in bio.,11727,274
CyjzrlgvWeN,2023-10-19 00:00:13,GraphImage,"'DISGUSTING': Sen. Tim Scott takes aim at ""Squad"" members, accusing them of spreading ""deadly"" propaganda. Why he says they're ""misinformed and wrongheaded"" at the link in bio.",24256,1234
Cyjsz2wMFlA,2023-10-18 23:00:10,GraphImage,'IT IS WHAT IT IS': Robert De Niro gives credit where it's due — and he's giving it all to his girlfriend months after their daughter was born. The actor gets candid about raising a newborn as an 80-year-old man at the link in bio.,9308,1595
Cyjl8aehFZ3,2023-10-18 22:00:11,GraphImage,TOO CLOSE FOR COMFORT: New data shows a potential rematch could be tight — but an independent's bid could upend the race in one candidate's favor. The latest numbers are at the link in bio.,26925,14402
CyjhXXZs_BV,2023-10-18 21:20:10,GraphImage,VIDEO EVIDENCE: The harrowing footage is at the link in bio.,40131,4178
CyjeLBZJ7fq,2023-10-18 20:52:26,GraphVideo,MAKING A STINK: An 'accident' inside the restroom of an aircraft left passengers in a tizzy. Link in bio.,22852,779
CyjaIgtp9cj,2023-10-18 20:16:58,GraphImage,"AW, SHUCKS!: One woman had nothing to ""shellabrate"" after her first date went terribly wrong. The viral moment that left her date extra salty is at the link in bio.",23109,1222
CyjMMw-OsDQ,2023-10-18 18:15:15,GraphImage,'WORLD'S GONE CRAZY': Jewish voice actress fired from animated show over Israel-Hamas posts. Link in bio.,37775,2592
CyjHWptJW4J,2023-10-18 17:32:53,GraphImage,KILLER CONCLUSION: The details are graphic. Read the the murderer's confession at the link in our bio.,23177,1817
CyjDoekhiBt,2023-10-18 17:00:41,GraphVideo,SLIPPERY SLOPE: The viral climate protester was detained by police outside of a gas and oil industry conference. Link in bio.,31684,6296
Cyi8wM1sSKB,2023-10-18 16:00:15,GraphImage,'YOU'RE NOT ALONE': Biden vows safe return of Hamas hostages is his highest priority. Link in bio.,10691,3394
Cyi14iCgrW4,2023-10-18 15:00:14,GraphImage,"'STUNNED AND SICKENED': Les Wexner slammed the Ivy League institution for a ""failure of leadership,"" and pulled non-profit support.",69625,3254
CyivApDL49D,2023-10-18 14:00:10,GraphImage,SEARCH IS OVER? Details surrounding Natalee Holloway's death may finally come to the surface nearly two decades after she went missing. Link in bio.,7233,498
Cyip9ptsw7k,2023-10-18 13:16:38,GraphVideo,Israel releases drone footage claiming it refutes Hamas claims that the IDF was behind deadly blast at Gaza hospital. @TreyYingst has the details. Link in bio.,15223,1734
